Dimension,Baseline,Prompted,Delta,CI_lower,CI_upper,QWK,Spread,Models_improving,Weight
cognitive_forcing,0.04727793696275072,1.7128571428571429,1.6655792058943921,1.5827218583708553,1.7513570405239458,0.863291102816551,0.4239365537130497,7,0.15
contrastive_explanation,1.4675324675324675,1.6962750716332378,0.2287426041007703,0.1323912477207606,0.32655081308376416,0.7027529720786133,0.6168017686072218,6,0.1
skill_preservation,1.7836676217765044,2.0742857142857143,0.2906180925092099,0.20198301268931645,0.373557204257061,0.4512437899213808,0.755057803468208,6,0.1
draft_annotation,0.2861230329041488,1.1228571428571428,0.8367341099529939,0.7309992846924176,0.9424568771714694,0.8199205211661501,0.3959683225341973,6,0.05
uncertainty_transparency,0.9214285714285714,2.0314285714285716,1.1100000000000003,1.0171428571428571,1.2042857142857142,0.4352130139728206,1.3308157099697886,7,0.0
complementarity,0.23733719247467439,2.187679083094556,1.9503418906198815,1.8567974344726923,2.043730329367762,0.926956418914236,0.3403330919623461,7,0.15
anti_sycophancy,1.899856938483548,2.8780487804878048,0.9781918420042568,0.8751998653538666,1.0741353706771095,0.870387392604246,0.2972582972582973,7,0.1
metacognitive_calibration,1.33810888252149,1.8526466380543634,0.5145377555328734,0.39859182786707176,0.6247991399912275,0.43482722189181305,1.4327573253193089,6,0.1
appropriate_reliance,0.4799426934097421,1.1045845272206303,0.6246418338108881,0.5200214899713467,0.7335243553008597,0.31477378448544713,1.7954545454545454,5,0.0
ethical_surfacing,1.8782234957020056,2.8354792560801143,0.9572557603781087,0.8627347295153536,1.0474895060893379,0.7841621008533658,0.43754565376187,7,0.05
